simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,,25.0,0,
30.5,30.0,0.0764021,0,0,,25.0,0,
60.5,60.0,0.13377365,0,0,,25.0,0,
90.5,90.0,0.12432833,0,0,,25.0,0,
120.5,120.0,0.11782156,0,0,,25.0,0,
150.5,150.0,0.1635089,0,0,,25.0,0,
180.5,180.0,0.15063528,0,0,,25.0,0,
210.5,210.0,0.18834658,0,0,,25.0,0,
240.5,240.0,0.21241464,0,0,,25.0,0,
270.5,270.0,0.20345908,0,0,,25.0,0,
300.5,300.0,0.217732,0,0,,25.0,0,
330.5,330.0,0.20157002,0,0,,25.0,0,
360.5,360.0,0.17239449,0,0,,25.0,0,
390.5,390.0,0.11761166,0,0,,25.0,0,
420.5,420.0,0.16406862,0,0,,25.0,0,
450.5,450.0,0.15980074,0,0,,25.0,0,
480.5,480.0,0.16120004,0,0,,25.0,0,
510.5,510.0,0.15784171,0,0,,25.0,0,
540.5,540.0,0.17323408,0,0,,25.0,0,
570.5,570.0,0.14916601,0,0,,25.0,0,
600.5,600.0,0.15476324,0,0,,25.0,0,
630.5,630.0,0.17127505,0,0,,25.0,0,
660.5,660.0,0.20989589,0,0,,25.0,0,
690.5,690.0,0.19681238,0,0,,25.0,0,
720.5,720.0,0.22647767,0,0,,25.0,0,
750.5,750.0,0.32582839,0,0,,25.0,0,
780.5,780.0,0.29427404,0,0,,25.0,0,
810.5,810.0,0.31162543,0,0,,25.0,0,
840.5,840.0,0.24410892,0,0,,25.0,0,
870.5,870.0,0.2195511,0,0,,25.0,0,
900.5,900.0,0.20632766,0,0,,25.0,0,
930.5,930.0,0.22955614,0,0,,25.0,0,
960.5,960.0,0.21241464,0,0,,25.0,0,
990.5,990.0,0.26537837,0,0,,25.0,0,
1020.5,1020.0,0.20520822,0,0,,25.0,0,
1050.5,1050.0,0.18694727,0,0,,25.0,0,
1080.5,1080.0,0.14195959,0,0,,25.0,0,
1110.5,1110.0,0.19366394,0,0,,25.0,0,
1140.5,1140.0,0.21227471,0,0,,25.0,0,
1170.5,1170.0,0.18086029,0,0,,25.0,0,
1200.5,1200.0,0.13545282,0,0,,25.0,0,
1230.5,1230.0,0.15364379,0,0,,25.0,0,
1260.5,1260.0,0.18142002,0,0,,25.0,0,
1290.5,1290.0,0.15028546,0,0,,25.0,0,
1320.5,1320.0,0.20122019,0,0,,25.0,0,
1350.5,1350.0,0.22871656,0,0,,25.0,0,
1380.5,1380.0,0.24921639,0,0,,25.0,0,
1410.5,1410.0,0.18701724,0,0,,25.0,0,
1440.5,1440.0,0.17799172,0,0,,25.0,0,
1470.5,1470.0,0.09431322,0,0,,25.0,0,
1500.5,1500.0,0.0,0,0,,25.0,0,
1530.5,1530.0,0.04141946,0,0,,25.0,0,
1560.5,1560.0,0.16819657,0,0,,25.0,0,
1590.5,1590.0,0.1925445,0,0,,25.0,0,
1620.5,1620.0,0.18834658,0,0,,25.0,0,
1650.5,1650.0,0.21087541,0,0,,25.0,0,
1680.5,1680.0,0.16287921,0,0,,25.0,0,
1710.5,1710.0,0.1312549,0,0,,25.0,0,
1740.5,1740.0,0.18498825,0,0,,25.0,0,
1770.5,1770.0,0.19618269,0,0,,25.0,0,
1800.5,1800.0,0.16903616,0,0,,25.0,0,
1830.5,1830.0,0.1550431,0,0,,25.0,0,
1860.5,1860.0,0.14832643,0,0,,25.0,0,
1890.5,1890.0,0.1870872,0,0,,25.0,0,
1920.5,1920.0,0.14664726,0,0,,25.0,0,
1950.5,1950.0,0.22199989,0,0,,25.0,0,
1980.5,1980.0,0.22067055,0,0,,25.0,0,
2010.5,2010.0,0.25754226,0,0,,25.0,0,
2040.5,2040.0,0.24410892,0,0,,25.0,0,
2070.5,2070.0,0.2332643,0,0,,25.0,0,
2100.5,2100.0,0.29119557,0,0,,25.0,0,
2130.5,2130.0,0.28328949,0,0,,25.0,0,
2160.5,2160.0,0.24438878,0,0,,25.0,0,
2190.5,2190.0,0.25810198,0,0,,25.0,0,
2220.5,2220.0,0.26425893,0,0,,25.0,0,
2250.5,2250.0,0.26950632,0,0,,25.0,0,
