simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,,25.0,0,
30.5,30.0,0.0764021,0,0,,25.0,0,
60.5,60.0,0.13377365,0,0,,25.0,0,
90.5,90.0,0.12432833,0,0,,25.0,0,
120.5,120.0,0.11782156,0,0,,25.0,0,
150.5,150.0,0.1635089,0,0,,25.0,0,
180.5,180.0,0.15063528,0,0,,25.0,0,
210.5,210.0,0.18834658,0,0,,25.0,0,
240.5,240.0,0.21241464,0,1,,25.0,metered,rm_on
270.5,270.0,0.1751931,0,1,,25.0,metered,
300.5,300.0,0.13321393,0,0,,25.0,0,rm_off
330.5,330.0,0.17491324,0,0,,25.0,0,
360.5,360.0,0.21164502,0,1,,25.0,metered,rm_on
390.5,390.0,0.15511306,0,1,,25.0,metered,
420.5,420.0,0.15287417,0,1,,25.0,metered,
450.5,450.0,0.14895612,0,1,,25.0,metered,
480.5,480.0,0.14720699,0,1,,25.0,metered,
510.5,510.0,0.14384865,0,1,,25.0,metered,
540.5,540.0,0.1514049,0,1,,25.0,metered,
570.5,570.0,0.10858614,0,0,,25.0,0,rm_off
600.5,600.0,0.17155491,0,0,,25.0,0,
630.5,630.0,0.20793686,0,1,,25.0,metered,rm_on
660.5,660.0,0.16399866,0,1,,25.0,metered,
690.5,690.0,0.12733684,0,0,,25.0,0,rm_off
720.5,720.0,0.16315907,0,0,,25.0,0,
750.5,750.0,0.19338408,0,0,,25.0,0,
780.5,780.0,0.18869641,0,0,,25.0,0,
810.5,810.0,0.22102037,0,1,,25.0,metered,rm_on
840.5,840.0,0.20345908,0,1,,25.0,metered,
870.5,870.0,0.19149502,0,1,,25.0,metered,
900.5,900.0,0.1687563,0,1,,25.0,metered,
930.5,930.0,0.12852625,0,0,,25.0,0,rm_off
960.5,960.0,0.13377365,0,0,,25.0,0,
990.5,990.0,0.23935128,0,1,,25.0,metered,rm_on
1020.5,1020.0,0.18897627,0,1,,25.0,metered,
1050.5,1050.0,0.15196463,0,1,,25.0,metered,
1080.5,1080.0,0.11362364,0,0,,25.0,0,rm_off
1110.5,1110.0,0.19016568,0,0,,25.0,0,
1140.5,1140.0,0.21507332,0,1,,25.0,metered,rm_on
1170.5,1170.0,0.22227975,0,1,,25.0,metered,
1200.5,1200.0,0.15700213,0,1,,25.0,metered,
1230.5,1230.0,0.12565767,0,0,,25.0,0,rm_off
1260.5,1260.0,0.197582,0,0,,25.0,0,
1290.5,1290.0,0.15903112,0,0,,25.0,0,
1320.5,1320.0,0.24214989,0,1,,25.0,metered,rm_on
1350.5,1350.0,0.2501959,0,1,,25.0,metered,
1380.5,1380.0,0.24319937,0,1,,25.0,metered,
1410.5,1410.0,0.12901601,0,0,,25.0,0,rm_off
1440.5,1440.0,0.17715213,0,0,,25.0,0,
1470.5,1470.0,0.10690697,0,0,,25.0,0,
1500.5,1500.0,0.06576738,0,0,,25.0,0,
1530.5,1530.0,0.07815124,0,0,,25.0,0,
1560.5,1560.0,0.153224,0,0,,25.0,0,
1590.5,1590.0,0.1500056,0,0,,25.0,0,
1620.5,1620.0,0.19142505,0,0,,25.0,0,
1650.5,1650.0,0.26677768,0,1,,25.0,metered,rm_on
1680.5,1680.0,0.20296933,0,1,,25.0,metered,
1710.5,1710.0,0.13741184,0,0,,25.0,0,rm_off
1740.5,1740.0,0.19114519,0,0,,25.0,0,
1770.5,1770.0,0.22276951,0,1,,25.0,metered,rm_on
1800.5,1800.0,0.16343893,0,1,,25.0,metered,
1830.5,1830.0,0.12929587,0,0,,25.0,0,rm_off
1860.5,1860.0,0.16175977,0,0,,25.0,0,
1890.5,1890.0,0.22423878,0,1,,25.0,metered,rm_on
1920.5,1920.0,0.16343893,0,1,,25.0,metered,
1950.5,1950.0,0.15364379,0,1,,25.0,metered,
1980.5,1980.0,0.0951528,0,0,,25.0,0,rm_off
2010.5,2010.0,0.20122019,0,1,,25.0,metered,rm_on
2040.5,2040.0,0.19149502,0,1,,25.0,metered,
2070.5,2070.0,0.14356879,0,1,,25.0,metered,
2100.5,2100.0,0.18638755,0,1,,25.0,metered,
2130.5,2130.0,0.15315404,0,1,,25.0,metered,
