simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,E_weaving_0,25.0,0,
30.5,30.0,0.0764021,0,0,E_weaving_0,25.0,0,
60.5,60.0,0.13377365,0,0,E_weaving_0,25.0,0,
90.5,90.0,0.12432833,0,0,E_weaving_0,25.0,0,
120.5,120.0,0.11782156,0,0,E_weaving_0,25.0,0,
150.5,150.0,0.1635089,1,0,E_weaving_0,12.0,0,vsl_on
180.5,180.0,0.15763181,1,0,E_weaving_0,12.0,0,
210.5,210.0,0.21661256,1,0,E_weaving_0,12.0,0,
240.5,240.0,0.25418392,1,0,E_weaving_0,12.0,0,
270.5,270.0,0.22948617,1,0,E_weaving_0,12.0,0,
300.5,300.0,0.23844173,1,0,E_weaving_0,12.0,0,
330.5,330.0,0.1909353,1,0,E_weaving_0,12.0,0,
360.5,360.0,0.19674242,1,0,E_weaving_0,12.0,0,
390.5,390.0,0.16994571,1,0,E_weaving_0,12.0,0,
420.5,420.0,0.22123027,1,0,E_weaving_0,12.0,0,
450.5,450.0,0.20038061,1,0,E_weaving_0,12.0,0,
480.5,480.0,0.1751931,1,0,E_weaving_0,12.0,0,
510.5,510.0,0.17743199,1,0,E_weaving_0,12.0,0,
540.5,540.0,0.21325423,1,0,E_weaving_0,12.0,0,
570.5,570.0,0.17295421,1,0,E_weaving_0,12.0,0,
600.5,600.0,0.17295421,1,0,E_weaving_0,12.0,0,
630.5,630.0,0.16567782,1,0,E_weaving_0,12.0,0,
660.5,660.0,0.17771185,1,0,E_weaving_0,12.0,0,
690.5,690.0,0.15735195,1,0,E_weaving_0,12.0,0,
720.5,720.0,0.15567279,1,0,E_weaving_0,12.0,0,
750.5,750.0,0.19828165,1,0,E_weaving_0,12.0,0,
780.5,780.0,0.2570525,1,0,E_weaving_0,12.0,0,
810.5,810.0,0.19401377,1,0,E_weaving_0,12.0,0,
840.5,840.0,0.22025076,1,0,E_weaving_0,12.0,0,
870.5,870.0,0.2282268,1,0,E_weaving_0,12.0,0,
900.5,900.0,0.22144017,1,0,E_weaving_0,12.0,0,
930.5,930.0,0.25761222,1,0,E_weaving_0,12.0,0,
960.5,960.0,0.20352905,1,0,E_weaving_0,12.0,0,
990.5,990.0,0.25530337,1,0,E_weaving_0,12.0,0,
1020.5,1020.0,0.25558323,1,0,E_weaving_0,12.0,0,
1050.5,1050.0,0.19198478,1,0,E_weaving_0,12.0,0,
1080.5,1080.0,0.20436863,1,0,E_weaving_0,12.0,0,
1110.5,1110.0,0.22892645,1,0,E_weaving_0,12.0,0,
1140.5,1140.0,0.27104556,1,0,E_weaving_0,12.0,0,
1170.5,1170.0,0.2348735,1,0,E_weaving_0,12.0,0,
1200.5,1200.0,0.18135005,1,0,E_weaving_0,12.0,0,
1230.5,1230.0,0.22192992,1,0,E_weaving_0,12.0,0,
1260.5,1260.0,0.20268947,1,0,E_weaving_0,12.0,0,
1290.5,1290.0,0.19366394,1,0,E_weaving_0,12.0,0,
1320.5,1320.0,0.22248965,1,0,E_weaving_0,12.0,0,
1350.5,1350.0,0.23879156,1,0,E_weaving_0,12.0,0,
1380.5,1380.0,0.25677264,1,0,E_weaving_0,12.0,0,
1410.5,1410.0,0.2229794,1,0,E_weaving_0,12.0,0,
1440.5,1440.0,0.23592298,1,0,E_weaving_0,12.0,0,
