simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,E_weaving_0,25.0,0,
30.5,30.0,0.0764021,0,0,E_weaving_0,25.0,0,
60.5,60.0,0.13377365,0,0,E_weaving_0,25.0,0,
90.5,90.0,0.12432833,0,0,E_weaving_0,25.0,0,
120.5,120.0,0.11782156,0,0,E_weaving_0,25.0,0,
150.5,150.0,0.1635089,1,0,E_weaving_0,12.0,0,vsl_on
180.5,180.0,0.15763181,1,0,E_weaving_0,12.0,0,
210.5,210.0,0.21661256,1,1,E_weaving_0,12.0,metered,rm_on
240.5,240.0,0.21640266,1,1,E_weaving_0,12.0,metered,
270.5,270.0,0.18498825,1,1,E_weaving_0,12.0,metered,
300.5,300.0,0.14916601,1,1,E_weaving_0,12.0,metered,
330.5,330.0,0.17995074,1,1,E_weaving_0,12.0,metered,
360.5,360.0,0.16120004,1,1,E_weaving_0,12.0,metered,
390.5,390.0,0.1022193,0,0,E_weaving_0,25.0,0,vsl_off;rm_off
420.5,420.0,0.19569294,1,0,E_weaving_0,12.0,0,vsl_on
450.5,450.0,0.19681238,1,0,E_weaving_0,12.0,0,
480.5,480.0,0.20317922,1,1,E_weaving_0,12.0,metered,rm_on
510.5,510.0,0.21192489,1,1,E_weaving_0,12.0,metered,
540.5,540.0,0.187507,1,1,E_weaving_0,12.0,metered,
570.5,570.0,0.15560282,1,1,E_weaving_0,12.0,metered,
600.5,600.0,0.14272921,1,1,E_weaving_0,12.0,metered,
630.5,630.0,0.1463674,1,1,E_weaving_0,12.0,metered,
660.5,660.0,0.13713198,1,0,E_weaving_0,12.0,0,rm_off
690.5,690.0,0.13685212,1,0,E_weaving_0,12.0,0,
720.5,720.0,0.18162991,1,0,E_weaving_0,12.0,0,
750.5,750.0,0.20653756,1,1,E_weaving_0,12.0,metered,rm_on
780.5,780.0,0.18330908,1,1,E_weaving_0,12.0,metered,
810.5,810.0,0.13860125,1,0,E_weaving_0,12.0,0,rm_off
840.5,840.0,0.20352905,1,1,E_weaving_0,12.0,metered,rm_on
870.5,870.0,0.2145136,1,1,E_weaving_0,12.0,metered,
900.5,900.0,0.19170491,1,1,E_weaving_0,12.0,metered,
930.5,930.0,0.20520822,1,1,E_weaving_0,12.0,metered,
960.5,960.0,0.13349379,1,0,E_weaving_0,12.0,0,rm_off
990.5,990.0,0.22290944,1,1,E_weaving_0,12.0,metered,rm_on
1020.5,1020.0,0.19268443,1,1,E_weaving_0,12.0,metered,
1050.5,1050.0,0.16490821,1,1,E_weaving_0,12.0,metered,
1080.5,1080.0,0.16399866,1,1,E_weaving_0,12.0,metered,
1110.5,1110.0,0.1889063,1,1,E_weaving_0,12.0,metered,
1140.5,1140.0,0.21500336,1,1,E_weaving_0,12.0,metered,
1170.5,1170.0,0.19709224,1,1,E_weaving_0,12.0,metered,
1200.5,1200.0,0.14580768,1,1,E_weaving_0,12.0,metered,
1230.5,1230.0,0.12985559,1,0,E_weaving_0,12.0,0,rm_off
1260.5,1260.0,0.21500336,1,1,E_weaving_0,12.0,metered,rm_on
1290.5,1290.0,0.16287921,1,1,E_weaving_0,12.0,metered,
1320.5,1320.0,0.18421863,1,1,E_weaving_0,12.0,metered,
1350.5,1350.0,0.21136516,1,1,E_weaving_0,12.0,metered,
1380.5,1380.0,0.19534311,1,1,E_weaving_0,12.0,metered,
