simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
30.5,30.0,0.0764021,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
60.5,60.0,0.13377365,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
90.5,90.0,0.12432833,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
120.5,120.0,0.11782156,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
150.5,150.0,0.1635089,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,vsl_on
180.5,180.0,0.08514777,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off
210.5,210.0,0.26922646,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,vsl_on;rm_on
240.5,240.0,0.12607747,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
270.5,270.0,0.12677712,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
300.5,300.0,0.16679727,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
330.5,330.0,0.22920631,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
360.5,360.0,0.17855144,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
390.5,390.0,0.1262174,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
420.5,420.0,0.13580264,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
450.5,450.0,0.20184988,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
480.5,480.0,0.14160976,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
510.5,510.0,0.16651741,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
