simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,,25.0,0,
30.5,30.0,0.08311877,0,0,,25.0,0,
60.5,60.0,0.17134501,0,0,,25.0,0,
90.5,90.0,0.16938598,0,0,,25.0,0,
120.5,120.0,0.18114015,0,0,,25.0,0,
150.5,150.0,0.25264469,0,0,,25.0,0,
180.5,180.0,0.20122019,0,0,,25.0,0,
210.5,210.0,0.18778686,0,0,,25.0,0,
240.5,240.0,0.21479346,0,0,,25.0,0,
270.5,270.0,0.22934624,0,0,,25.0,0,
300.5,300.0,0.19422367,0,0,,25.0,0,
330.5,330.0,0.24662767,0,0,,25.0,0,
360.5,360.0,0.27965129,0,0,,25.0,0,
390.5,390.0,0.32610825,0,0,,25.0,0,
420.5,420.0,0.28300963,0,0,,25.0,0,
450.5,450.0,0.23403392,0,0,,25.0,0,
480.5,480.0,0.27489365,0,0,,25.0,0,
510.5,510.0,0.24550823,0,0,,25.0,0,
540.5,540.0,0.2552334,0,0,,25.0,0,
570.5,570.0,0.24739729,0,0,,25.0,0,
600.5,600.0,0.26698757,0,0,,25.0,0,
630.5,630.0,0.27146535,0,0,,25.0,0,
660.5,660.0,0.21465353,0,0,,25.0,0,
690.5,690.0,0.18617766,0,0,,25.0,0,
720.5,720.0,0.11565264,0,0,,25.0,0,
750.5,750.0,0.12006045,0,0,,25.0,0,
780.5,780.0,0.14804657,0,0,,25.0,0,
810.5,810.0,0.13713198,0,0,,25.0,0,
840.5,840.0,0.10102989,0,0,,25.0,0,
870.5,870.0,0.14244935,0,0,,25.0,0,
900.5,900.0,0.1550431,0,0,,25.0,0,
930.5,930.0,0.17435352,0,0,,25.0,0,
960.5,960.0,0.17470335,0,0,,25.0,0,
990.5,990.0,0.24991604,0,0,,25.0,0,
1020.5,1020.0,0.21325423,0,0,,25.0,0,
1050.5,1050.0,0.26901657,0,0,,25.0,0,
