simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,,25.0,0,
30.5,30.0,0.08311877,0,0,,25.0,0,
60.5,60.0,0.17134501,0,0,,25.0,0,
90.5,90.0,0.16938598,0,0,,25.0,0,
120.5,120.0,0.18114015,0,0,,25.0,0,
150.5,150.0,0.25264469,0,1,,25.0,metered,rm_on
180.5,180.0,0.16903616,0,1,,25.0,metered,
210.5,210.0,0.15287417,0,1,,25.0,metered,
240.5,240.0,0.13552278,0,0,,25.0,0,rm_off
270.5,270.0,0.19478339,0,0,,25.0,0,
300.5,300.0,0.1701556,0,0,,25.0,0,
330.5,330.0,0.22815683,0,1,,25.0,metered,rm_on
360.5,360.0,0.2538341,0,1,,25.0,metered,
390.5,390.0,0.26978619,0,1,,25.0,metered,
420.5,420.0,0.20709728,0,1,,25.0,metered,
450.5,450.0,0.14412851,0,1,,25.0,metered,
480.5,480.0,0.16399866,0,1,,25.0,metered,
510.5,510.0,0.1413299,0,1,,25.0,metered,
540.5,540.0,0.11586253,0,0,,25.0,0,rm_off
570.5,570.0,0.16043043,0,0,,25.0,0,
600.5,600.0,0.16043043,0,0,,25.0,0,
630.5,630.0,0.16231949,0,0,,25.0,0,
660.5,660.0,0.1360825,0,0,,25.0,0,
690.5,690.0,0.19443356,0,0,,25.0,0,
720.5,720.0,0.10921583,0,0,,25.0,0,
750.5,750.0,0.10977555,0,0,,25.0,0,
780.5,780.0,0.0612896,0,0,,25.0,0,
810.5,810.0,0.04477779,0,0,,25.0,0,
840.5,840.0,0.04477779,0,0,,25.0,0,
870.5,870.0,0.10998545,0,0,,25.0,0,
900.5,900.0,0.15259431,0,0,,25.0,0,
930.5,930.0,0.16036046,0,0,,25.0,0,
960.5,960.0,0.17295421,0,0,,25.0,0,
990.5,990.0,0.26111049,0,1,,25.0,metered,rm_on
1020.5,1020.0,0.16315907,0,1,,25.0,metered,
