simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,E_weaving_0,25.0,0,
30.5,30.0,0.08311877,0,0,E_weaving_0,25.0,0,
60.5,60.0,0.17134501,1,0,E_weaving_0,12.0,0,vsl_on
90.5,90.0,0.15819154,1,0,E_weaving_0,12.0,0,
120.5,120.0,0.15427348,1,0,E_weaving_0,12.0,0,
150.5,150.0,0.24445875,1,0,E_weaving_0,12.0,0,
180.5,180.0,0.18086029,1,0,E_weaving_0,12.0,0,
210.5,210.0,0.22332923,1,0,E_weaving_0,12.0,0,
240.5,240.0,0.20359901,1,0,E_weaving_0,12.0,0,
270.5,270.0,0.24019087,1,0,E_weaving_0,12.0,0,
300.5,300.0,0.18358894,1,0,E_weaving_0,12.0,0,
330.5,330.0,0.16798668,1,0,E_weaving_0,12.0,0,
360.5,360.0,0.15630247,1,0,E_weaving_0,12.0,0,
390.5,390.0,0.23459364,1,0,E_weaving_0,12.0,0,
420.5,420.0,0.24187003,1,0,E_weaving_0,12.0,0,
450.5,450.0,0.20045058,1,0,E_weaving_0,12.0,0,
480.5,480.0,0.1584714,1,0,E_weaving_0,12.0,0,
510.5,510.0,0.16882626,1,0,E_weaving_0,12.0,0,
540.5,540.0,0.16490821,1,0,E_weaving_0,12.0,0,
570.5,570.0,0.17547297,1,0,E_weaving_0,12.0,0,
600.5,600.0,0.18610769,1,0,E_weaving_0,12.0,0,
630.5,630.0,0.22248965,1,0,E_weaving_0,12.0,0,
660.5,660.0,0.12453823,1,0,E_weaving_0,12.0,0,
690.5,690.0,0.14307903,1,0,E_weaving_0,12.0,0,
720.5,720.0,0.07248405,0,0,E_weaving_0,25.0,0,vsl_off
750.5,750.0,0.11509291,0,0,E_weaving_0,25.0,0,
780.5,780.0,0.14608754,0,0,E_weaving_0,25.0,0,
810.5,810.0,0.1413299,0,0,E_weaving_0,25.0,0,
840.5,840.0,0.12173962,0,0,E_weaving_0,25.0,0,
870.5,870.0,0.17239449,1,0,E_weaving_0,12.0,0,vsl_on
900.5,900.0,0.19926117,1,0,E_weaving_0,12.0,0,
930.5,930.0,0.18302922,1,0,E_weaving_0,12.0,0,
