simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,E_weaving_0,25.0,0,
30.5,30.0,0.08311877,0,0,E_weaving_0,25.0,0,
60.5,60.0,0.17134501,1,0,E_weaving_0,12.0,0,vsl_on
90.5,90.0,0.15819154,1,0,E_weaving_0,12.0,0,
120.5,120.0,0.15427348,1,0,E_weaving_0,12.0,0,
150.5,150.0,0.24445875,1,1,E_weaving_0,12.0,metered,rm_on
180.5,180.0,0.16546793,1,1,E_weaving_0,12.0,metered,
210.5,210.0,0.20653756,1,1,E_weaving_0,12.0,metered,
240.5,240.0,0.1481865,1,1,E_weaving_0,12.0,metered,
270.5,270.0,0.16287921,1,1,E_weaving_0,12.0,metered,
300.5,300.0,0.11838128,1,0,E_weaving_0,12.0,0,rm_off
330.5,330.0,0.13993059,1,0,E_weaving_0,12.0,0,
360.5,360.0,0.14440837,1,0,E_weaving_0,12.0,0,
390.5,390.0,0.18309918,1,0,E_weaving_0,12.0,0,
420.5,420.0,0.19310422,1,0,E_weaving_0,12.0,0,
450.5,450.0,0.18869641,1,0,E_weaving_0,12.0,0,
480.5,480.0,0.22423878,1,1,E_weaving_0,12.0,metered,rm_on
510.5,510.0,0.15588268,1,1,E_weaving_0,12.0,metered,
540.5,540.0,0.18477835,1,1,E_weaving_0,12.0,metered,
570.5,570.0,0.14671723,1,1,E_weaving_0,12.0,metered,
600.5,600.0,0.1449681,1,1,E_weaving_0,12.0,metered,
630.5,630.0,0.12537781,1,0,E_weaving_0,12.0,0,rm_off
660.5,660.0,0.1449681,1,0,E_weaving_0,12.0,0,
690.5,690.0,0.15546289,1,0,E_weaving_0,12.0,0,
720.5,720.0,0.10026027,0,0,E_weaving_0,25.0,0,vsl_off
750.5,750.0,0.11530281,0,0,E_weaving_0,25.0,0,
780.5,780.0,0.10830628,0,0,E_weaving_0,25.0,0,
810.5,810.0,0.12229934,0,0,E_weaving_0,25.0,0,
840.5,840.0,0.13433337,0,0,E_weaving_0,25.0,0,
870.5,870.0,0.20653756,1,1,E_weaving_0,12.0,metered,vsl_on;rm_on
900.5,900.0,0.21157506,1,1,E_weaving_0,12.0,metered,
