simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
30.5,30.0,0.08311877,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
60.5,60.0,0.17134501,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,vsl_on
90.5,90.0,0.12124986,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
120.5,120.0,0.1449681,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
150.5,150.0,0.15203459,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
180.5,180.0,0.18995578,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
210.5,210.0,0.18918616,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
240.5,240.0,0.20219971,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
270.5,270.0,0.23417385,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
300.5,300.0,0.26083063,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
330.5,330.0,0.19562297,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
360.5,360.0,0.24914642,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
390.5,390.0,0.22591794,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
420.5,420.0,0.24627785,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
450.5,450.0,0.25026587,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
480.5,480.0,0.24690753,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
510.5,510.0,0.2552334,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
540.5,540.0,0.23284451,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
570.5,570.0,0.19870144,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
600.5,600.0,0.25355424,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
630.5,630.0,0.22388895,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
660.5,660.0,0.24571812,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
690.5,690.0,0.22423878,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
720.5,720.0,0.2284367,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
750.5,750.0,0.14077018,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
780.5,780.0,0.1024292,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off
810.5,810.0,0.09263405,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
840.5,840.0,0.08032016,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
870.5,870.0,0.13412347,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
900.5,900.0,0.19121516,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,vsl_on
930.5,930.0,0.19002575,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
960.5,960.0,0.17638251,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
990.5,990.0,0.17211463,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1020.5,1020.0,0.2437591,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1050.5,1050.0,0.26362924,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1080.5,1080.0,0.20408877,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1110.5,1110.0,0.2844789,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1140.5,1140.0,0.24361916,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1170.5,1170.0,0.29175529,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1200.5,1200.0,0.28154036,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1230.5,1230.0,0.28524852,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1260.5,1260.0,0.24207993,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1290.5,1290.0,0.1701556,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1320.5,1320.0,0.17694224,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1350.5,1350.0,0.19289432,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1380.5,1380.0,0.2008004,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1410.5,1410.0,0.27160528,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1440.5,1440.0,0.23795198,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1470.5,1470.0,0.25432386,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1500.5,1500.0,0.31869193,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1530.5,1530.0,0.32897683,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1560.5,1560.0,0.28762734,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1590.5,1590.0,0.3050487,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1620.5,1620.0,0.36332979,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1650.5,1650.0,0.31547353,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1680.5,1680.0,0.28210008,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1710.5,1710.0,0.25957125,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1740.5,1740.0,0.25859174,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1770.5,1770.0,0.29938151,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1800.5,1800.0,0.27321449,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1830.5,1830.0,0.17106515,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1860.5,1860.0,0.2383018,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1890.5,1890.0,0.28433897,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1920.5,1920.0,0.28762734,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1950.5,1950.0,0.25838184,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1980.5,1980.0,0.22794694,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2010.5,2010.0,0.24921639,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2040.5,2040.0,0.20136013,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2070.5,2070.0,0.22472853,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2100.5,2100.0,0.21122523,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2130.5,2130.0,0.25054573,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2160.5,2160.0,0.20352905,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2190.5,2190.0,0.28748741,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2220.5,2220.0,0.28531848,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2250.5,2250.0,0.28217004,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2280.5,2280.0,0.21409381,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2310.5,2310.0,0.15784171,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2340.5,2340.0,0.19954103,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2370.5,2370.0,0.21213478,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2400.5,2400.0,0.22752715,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2430.5,2430.0,0.24270962,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2460.5,2460.0,0.209686,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2490.5,2490.0,0.19905127,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2520.5,2520.0,0.21808183,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2550.5,2550.0,0.23074555,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2580.5,2580.0,0.27825199,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2610.5,2610.0,0.27713254,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2640.5,2640.0,0.20122019,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2670.5,2670.0,0.18135005,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2700.5,2700.0,0.23872159,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2730.5,2730.0,0.2385117,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2760.5,2760.0,0.15756185,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2790.5,2790.0,0.09347364,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off
2820.5,2820.0,0.0971818,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
2850.5,2850.0,0.1500056,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,vsl_on
2880.5,2880.0,0.14335889,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2910.5,2910.0,0.14727695,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2940.5,2940.0,0.10718684,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2970.5,2970.0,0.13097504,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
3000.5,3000.0,0.08675697,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off
3030.5,3030.0,0.07192433,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3060.5,3060.0,0.07052502,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3090.5,3090.0,0.06548752,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3120.5,3120.0,0.05149446,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3150.5,3150.0,0.06380835,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3180.5,3180.0,0.06045002,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3210.5,3210.0,0.04057987,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3240.5,3240.0,0.06408821,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3270.5,3270.0,0.04589723,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3300.5,3300.0,0.0562521,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3330.5,3330.0,0.07332363,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3360.5,3360.0,0.06520766,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3390.5,3390.0,0.05681182,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3420.5,3420.0,0.06968544,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3450.5,3450.0,0.02966529,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3480.5,3480.0,0.02546737,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
