simulation_time_s,archive_control_time_s,gap_occupancy,vsl_active,rm_active,vsl_lanes,vsl_limit_m_s,signal_program,transitions
0.5,0.0,0.0,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
30.5,30.0,0.08311877,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
60.5,60.0,0.17134501,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,vsl_on
90.5,90.0,0.12124986,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
120.5,120.0,0.1449681,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
150.5,150.0,0.15203459,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
180.5,180.0,0.18995578,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
210.5,210.0,0.18918616,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
240.5,240.0,0.20219971,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
270.5,270.0,0.20254954,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
300.5,300.0,0.17239449,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
330.5,330.0,0.07864099,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off;rm_off
360.5,360.0,0.24963618,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,vsl_on;rm_on
390.5,390.0,0.15364379,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
420.5,420.0,0.1125042,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
450.5,450.0,0.14867626,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
480.5,480.0,0.19114519,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
510.5,510.0,0.22367906,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
540.5,540.0,0.21465353,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
570.5,570.0,0.15840143,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
600.5,600.0,0.16322904,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
630.5,630.0,0.09599239,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off;rm_off
660.5,660.0,0.17974085,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,vsl_on
690.5,690.0,0.17638251,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
720.5,720.0,0.15336393,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
750.5,750.0,0.16036046,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
780.5,780.0,0.20436863,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
810.5,810.0,0.19121516,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
840.5,840.0,0.10137972,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off;rm_off
870.5,870.0,0.09739169,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
900.5,900.0,0.16099015,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,vsl_on
930.5,930.0,0.11418337,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
960.5,960.0,0.12985559,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
990.5,990.0,0.15952088,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1020.5,1020.0,0.21437367,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
1050.5,1050.0,0.1449681,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1080.5,1080.0,0.09186444,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off;rm_off
1110.5,1110.0,0.22619781,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,vsl_on;rm_on
1140.5,1140.0,0.11194448,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
1170.5,1170.0,0.16036046,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1200.5,1200.0,0.20597783,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
1230.5,1230.0,0.16707713,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1260.5,1260.0,0.15308407,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1290.5,1290.0,0.11642225,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
1320.5,1320.0,0.15595265,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1350.5,1350.0,0.19205474,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1380.5,1380.0,0.21437367,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
1410.5,1410.0,0.21563305,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1440.5,1440.0,0.12593753,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
1470.5,1470.0,0.18897627,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1500.5,1500.0,0.27972126,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
1530.5,1530.0,0.24103045,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1560.5,1560.0,0.21402384,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1590.5,1590.0,0.16043043,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1620.5,1620.0,0.21920128,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1650.5,1650.0,0.11614239,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
1680.5,1680.0,0.15392365,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1710.5,1710.0,0.22374902,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
1740.5,1740.0,0.19632262,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1770.5,1770.0,0.15427348,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1800.5,1800.0,0.12425837,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
1830.5,1830.0,0.15567279,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
1860.5,1860.0,0.23396395,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
1890.5,1890.0,0.22941621,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1920.5,1920.0,0.14643737,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
1950.5,1950.0,0.11957069,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
1980.5,1980.0,0.110895,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2010.5,2010.0,0.15735195,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2040.5,2040.0,0.19800179,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2070.5,2070.0,0.23935128,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
2100.5,2100.0,0.17302418,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2130.5,2130.0,0.14720699,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2160.5,2160.0,0.12733684,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
2190.5,2190.0,0.16595768,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2220.5,2220.0,0.18722714,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2250.5,2250.0,0.20541811,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
2280.5,2280.0,0.14608754,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2310.5,2310.0,0.16099015,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2340.5,2340.0,0.10914586,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
2370.5,2370.0,0.1600806,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2400.5,2400.0,0.20268947,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
2430.5,2430.0,0.24585805,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2460.5,2460.0,0.14608754,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2490.5,2490.0,0.12481809,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
2520.5,2520.0,0.16238945,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2550.5,2550.0,0.21556308,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
2580.5,2580.0,0.15924102,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2610.5,2610.0,0.12649726,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
2640.5,2640.0,0.16099015,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2670.5,2670.0,0.23312437,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,rm_on
2700.5,2700.0,0.22626777,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2730.5,2730.0,0.21717228,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2760.5,2760.0,0.16455838,1,1,E_main_in_0;E_main_in_1;E_main_in_2,12.0,metered,
2790.5,2790.0,0.13328389,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,rm_off
2820.5,2820.0,0.12481809,1,0,E_main_in_0;E_main_in_1;E_main_in_2,12.0,0,
2850.5,2850.0,0.10494795,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,vsl_off
2880.5,2880.0,0.11124482,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
2910.5,2910.0,0.06884585,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
2940.5,2940.0,0.05317363,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
2970.5,2970.0,0.03358334,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3000.5,3000.0,0.06506773,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3030.5,3030.0,0.05821113,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3060.5,3060.0,0.03442293,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3090.5,3090.0,0.05485279,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3120.5,3120.0,0.05317363,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3150.5,3150.0,0.04141946,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3180.5,3180.0,0.05597224,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3210.5,3210.0,0.04477779,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3240.5,3240.0,0.04701668,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3270.5,3270.0,0.05401321,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3300.5,3300.0,0.05576234,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3330.5,3330.0,0.03722154,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3360.5,3360.0,0.06135957,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3390.5,3390.0,0.0512146,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3420.5,3420.0,0.03358334,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3450.5,3450.0,0.05772137,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3480.5,3480.0,0.06240905,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3510.5,3510.0,0.05352345,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3540.5,3540.0,0.06156946,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3570.5,3570.0,0.05072484,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3600.5,3600.0,0.04792623,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3630.5,3630.0,0.0461771,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3660.5,3660.0,0.06156946,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
3690.5,3690.0,0.00699653,0,0,E_main_in_0;E_main_in_1;E_main_in_2,25.0,0,
