period,scenario,departed,arrived,capacity_veh_h,throughput_veh_h,avg_delay_s_veh,peak_delay_s_veh,avg_queue_veh,peak_queue_veh,avg_time_in_queue_s_veh,avg_excess_acc_veh,peak_excess_acc_veh,net_total_timeloss_veh_s,avg_speed_weaving_kmh,avg_net_delay_s_veh,tripinfo_completed,tripinfo_unfinished,tripinfo_completed_time_loss_s,tripinfo_completed_waiting_time_s,tripinfo_completed_depart_delay_s,completed_demand,remaining_expected,simulation_end_s,teleport_starts,collision_vehicle_events,vsl_activation_count,rm_activation_count,wall_seconds
peak,base,4493,4493,6448.4,4639.0,21.2,76.25,28.63,59.17,1.782,28.63,59.17,183708.2,39.25,40.89,4493,0,183706.86,8677.0,645635.73,True,0,3503.0,0,0,0,0,27.719
peak,vsl,4493,4493,6533.6,4022.9,15.23,33.37,19.16,40.21,0.838,19.16,40.21,192840.8,44.37,42.92,4493,0,192433.71,5397.0,1336566.73,True,0,4023.0,0,0,2,0,29.015
peak,vsl_up,4493,4493,6776.7,4637.4,19.25,37.71,27.54,54.1,0.936,27.54,54.1,184815.0,40.03,41.13,4493,0,184848.11,4360.5,595833.73,True,0,3506.5,0,0,3,0,33.156
peak,rm,4493,4493,7073.4,4270.1,9.58,24.41,13.8,39.83,0.078,13.8,39.83,82697.5,54.15,18.41,4493,0,82896.51,4352.0,868079.73,True,0,3803.0,0,0,0,10,23.765
peak,vsl_rm,4493,4493,6448.1,4140.4,16.06,38.12,18.78,33.08,0.522,18.78,33.08,189317.3,43.25,42.14,4493,0,189076.75,4962.0,1391122.23,True,0,3934.0,0,0,6,9,25.531
peak,vsl_up_rm,4493,4493,6890.6,4401.4,11.66,65.35,16.09,38.22,0.098,16.09,38.22,102461.3,51.27,22.8,4493,0,102489.31,4088.0,829655.73,True,0,3715.0,0,0,5,16,22.812
offpeak,base,5496,5496,6788.8,5231.5,15.24,72.11,23.52,66.97,0.87,23.52,66.97,130361.1,46.43,23.72,5496,0,130663.61,4504.0,86202.39,True,0,3796.0,0,0,0,0,24.734
offpeak,vsl,5496,5496,6393.1,4525.9,13.61,20.86,19.29,31.91,0.443,19.29,31.91,182911.5,45.85,33.28,5496,0,182856.11,3375.5,688559.89,True,0,4406.0,0,0,3,0,29.766
offpeak,vsl_up,5496,5496,7120.5,5237.4,12.96,25.71,20.91,42.73,0.209,20.91,42.73,122339.8,47.57,22.26,5496,0,122453.4,1231.5,66550.39,True,0,3814.0,0,0,5,0,35.031
offpeak,rm,5496,5496,6671.3,4769.0,9.33,26.14,14.28,36.08,0.024,14.28,36.08,83313.7,53.99,15.16,5496,0,83424.53,5157.5,439107.89,True,0,4199.5,0,0,0,21,28.829
offpeak,vsl_rm,5496,5496,6494.6,4178.6,9.89,24.05,13.6,27.32,0.098,13.6,27.32,121888.2,53.03,22.18,5496,0,121945.36,7741.0,1055045.39,True,0,4747.0,0,0,4,16,30.891
offpeak,vsl_up_rm,5496,5496,6701.2,4523.2,9.27,22.81,13.61,25.92,0.159,13.61,25.92,105287.6,54.11,19.16,5496,0,104989.11,6110.5,711373.89,True,0,4407.0,0,0,8,20,31.641
