period,scenario,departed,arrived,capacity_veh_h,throughput_veh_h,avg_delay_s_veh,peak_delay_s_veh,avg_queue_veh,peak_queue_veh,avg_time_in_queue_s_veh,avg_excess_acc_veh,peak_excess_acc_veh,net_total_timeloss_veh_s,avg_speed_weaving_kmh,avg_net_delay_s_veh
peak,base,4493,4493,6457.6,4582.9,11.89,23.45,17.24,29.77,0.46,17.24,29.77,143396.6,48.96,31.92
peak,vsl,4493,4493,6286.7,4091.1,13.17,24.58,17.03,29.97,0.481,17.03,29.97,173427.1,47.08,38.6
peak,vsl_up,4493,4493,7388.4,4661.7,11.49,18.48,16.87,26.13,0.207,16.87,26.13,142331.4,49.41,31.68
peak,rm,4493,4493,7209.3,4736.5,10.97,23.19,15.7,26.18,0.22,15.7,26.18,110833.5,50.84,24.67
peak,vsl_rm,4493,4493,6390.8,4219.8,13.8,24.34,17.23,26.98,0.531,17.23,26.98,173335.5,45.77,38.58
peak,vsl_up_rm,4493,4493,7253.4,4582.3,11.03,21.51,15.46,25.63,0.246,15.46,25.63,123997.1,50.75,27.6
offpeak,base,5496,5496,6752.6,5171.2,9.31,15.43,15.14,24.16,0.078,15.14,24.16,89050.3,53.53,16.2
offpeak,vsl,5496,5496,6471.4,4658.4,12.52,19.94,18.26,29.95,0.301,18.26,29.95,167590.0,47.7,30.49
offpeak,vsl_up,5496,5496,6862.2,5178.6,9.78,16.38,15.8,25.78,0.046,15.8,25.78,99602.3,52.49,18.12
offpeak,rm,5496,5496,7402.0,4926.0,8.65,13.05,13.54,24.43,0.053,13.54,24.43,86585.3,55.12,15.75
offpeak,vsl_rm,5496,5496,6392.6,4409.8,10.7,31.06,14.88,24.07,0.179,14.88,24.07,140242.1,51.41,25.52
offpeak,vsl_up_rm,5496,5496,6701.5,4652.7,9.13,19.12,13.62,24.76,0.062,13.62,24.76,107329.5,54.19,19.53
